Organic Traffic Insights
Users,218,18%
New Users,206,19%
Sessions,248,9%
Engaged Sessions,72,-6%
Engagement rate,0.29,-14%
Conversions,1.00,-75%
Av. engagement time,00:00:00,0


Landing pages,Search queries,Search queries Trend,Users,New Users,Sessions,Engaged Sessions,Engagement rate,Conversions,Av. engagement time
https://kctmenswear.com/,542,141,55,48,63,30,0.48,1.00,00:00:00
https://kctmenswear.com/pages/location-and-hours,30,4,10,8,11,2,0.18,0.00,00:00:00
https://kctmenswear.com/collections/floral-suits,125,20,8,8,8,3,0.38,0.00,00:00:00
https://kctmenswear.com,0,0,5,2,7,0,0.00,0.00,00:00:00
https://kctmenswear.com/blogs/news/best-wedding-tuxedos-for-2025-top-styles-colors-trends,68,-14,6,6,6,0,0.00,0.00,00:00:00
https://kctmenswear.com/products/glitter-green-prom-blazer,34,8,5,5,6,0,0.00,0.00,00:00:00
https://kctmenswear.com/products/green-velvet-silver-floral-prom-blazer,8,5,4,4,4,2,0.50,0.00,00:00:00
https://kctmenswear.com/products/mauve-stretch-suit-travelers-suit,28,2,4,3,4,1,0.25,0.00,00:00:00
https://kctmenswear.com/blogs/news/2025-prom-sneakers-style-guide,125,16,3,3,3,0,0.00,0.00,00:00:00
https://kctmenswear.com/products/pink-ombre-with-silver-floral-fusion-dazzling-prom-blazer,2,0,3,3,3,0,0.00,0.00,00:00:00
https://kctmenswear.com/products/purple-velvet-loafers-gold-spikes-prom-shoes,30,9,3,3,3,0,0.00,0.00,00:00:00
https://kctmenswear.com/products/sparkling-emerald-green-loafers-prom-shoes,20,4,3,3,3,2,0.67,0.00,00:00:00
https://kctmenswear.com/products/black-on-black-blazer-with-matching-bowtie,1,-2,2,2,2,0,0.00,0.00,00:00:00
https://kctmenswear.com/products/black-on-black-tuxedo-with-vest,69,1,2,2,2,0,0.00,0.00,00:00:00
https://kctmenswear.com/products/blue-diamond-jacket,5,0,2,2,2,0,0.00,0.00,00:00:00
https://kctmenswear.com/products/burgundy-vest-and-tie-set,16,6,2,2,2,1,0.50,0.00,00:00:00
https://kctmenswear.com/products/charcoal-grey-suit-three-piece,35,3,2,2,2,0,0.00,0.00,00:00:00
https://kctmenswear.com/products/copy-of-blue-pattern-prom-blazer,26,5,2,2,2,0,0.00,0.00,00:00:00
https://kctmenswear.com/products/copy-of-lilac-turtleneck,11,-6,2,2,2,0,0.00,0.00,00:00:00
https://kctmenswear.com/products/green-with-diamond-pattern-prom-blazer,15,2,2,2,2,1,0.50,0.00,00:00:00
https://kctmenswear.com/products/mauve-solo-ties?variant=42503336951996&country=US&currency=USD,0,0,2,2,2,0,0.00,0.00,00:00:00
https://kctmenswear.com/products/men-s-sequin-lapel-three-piece-prom-tuxedo-perfect-for-prom-2025,8,-1,2,2,2,1,0.50,0.00,00:00:00
https://kctmenswear.com/products/mens-champagne-tuxedo-slim-fit-satin-lapel-suit,24,0,2,2,2,2,1.00,0.00,00:00:00
https://kctmenswear.com/products/mint-green-stretch-summer-suit-refreshing-style-colorful-prom-and-wedding-celebrations,14,5,2,2,2,0,0.00,0.00,00:00:00
https://kctmenswear.com/products/shiny-blush-pink-satin-suit,61,2,2,2,2,0,0.00,0.00,00:00:00
https://kctmenswear.com/products/white-leather-sneakers-with-black-accent-versatile-prom-elegance?variant=43368425259196&country=US&currency=USD,0,0,2,1,2,0,0.00,0.00,00:00:00
https://kctmenswear.com/collections/shiny-shirts,45,7,1,1,2,0,0.00,0.00,00:00:00
https://kctmenswear.com/products/cinnamon-vest-and-tie-set?list_generator=link_to_storefront&context=order_management&user_id=137004284,0,0,1,0,2,1,0.50,0.00,00:00:00
https://kctmenswear.com/products/velvet-prom-loafers-2025?variant=44667097186492,0,0,1,0,2,0,0.00,0.00,00:00:00
https://kctmenswear.com/?list_generator=link_to_storefront&context=shop_store&user_id=595151594,0,0,1,1,1,0,0.00,0.00,00:00:00


https://kctmenswear.com/
Search Query,Clicks,Trend,Impressions,Trend,CTR %,Trend %,Position,Trend
tuxedo jacket with tie(new),0,0,1,0,0,0,5,0
tuxedo blue,0,0,1,0,0,0,13,+8
tuxedo and suits(new),0,0,4,0,0,0,34.5,0
tux with black vest(new),0,0,1,0,0,0,33,0
tux rental near me(new),0,0,2,0,0,0,12,0
tux rental for kids(new),0,0,1,0,0,0,9,0
travelers suit(new),0,0,1,0,0,0,6,0
tip top tux suits(new),0,0,1,0,0,0,103,0
tiffany tie(new),0,0,1,0,0,0,8,0
tie with vest,0,0,1,0,0,0,4,-1
tie for olive green suit(new),0,0,1,0,0,0,7,0
the weeknd in red suit(new),0,0,1,0,0,0,5,0
teal tuxedo rental(new),0,0,1,0,0,0,103,0
tan suits for prom,0,0,1,0,0,0,60,-10
tailored tuxedos(new),0,0,12,0,0,0,21.1,0
tailor kalamazoo,0,0,1," -1",0,0,20,-0.5
suits u menswear and tailors(new),0,0,1,0,0,0,43,0
suits store near me(new),0,0,2,0,0,0,10,0
suits red and black,0,0,8,+3,0,0,85,-11.4
suits kalamazoo,0,0,4,+2,0,0,2.2,-1.8
suits for rent near me(new),0,0,1,0,0,0,8,0
suits for guys for prom(new),0,0,1,0,0,0,98,0
suits black and red(new),0,0,8,0,0,0,71.4,0
suit tailor near me,0,0,2,+1,0,0,8.5,+1.5
suit stores near me(new),0,0,1,0,0,0,9,0
suit store near me,0,0,1,0,0,0,5,-6
suit shop near me(new),0,0,1,0,0,0,11,0
suit retailer(new),0,0,1,0,0,0,57,0
suit rental kalamazoo,0,0,1," -5",0,0,3,-0.8
studded dress shoes(new),0,0,1,0,0,0,5,0
sport coat rental(new),0,0,1,0,0,0,5,0
spiky dress shoes,0,0,4,+2,0,0,9.2,+3.8
spiked dress shoes,0,0,2," -2",0,0,5.5,0
spike prom shoes(new),0,0,1,0,0,0,5,0
spike dress shoes,0,0,1,0,0,0,9,+3
slim fit wedding tuxedo(new),0,0,1,0,0,0,97,0
skinny tie vs regular(new),0,0,1,0,0,0,6,0
silver wedding tuxedo(new),0,0,2,0,0,0,68.5,0
silver wedding suit,0,0,4,+3,0,0,93,-3
silver suits for weddings(new),0,0,1,0,0,0,92,0
silver and white prom suit(new),0,0,1,0,0,0,11,0
silver and blue tuxedo(new),0,0,2,0,0,0,8.5,0
silver and black tux(new),0,0,1,0,0,0,76,0
silver and black suit(new),0,0,4,0,0,0,100.5,0
royal custom tailoring(new),0,0,1,0,0,0,84,0
royal blue tuxedo wedding,0,0,4," -2",0,0,9.2,-0.4
royal blue tuxedo,0,0,1," -11",0,0,12,+0.2
royal blue suits near me(new),0,0,1,0,0,0,65,0
royal blue suits(new),0,0,1,0,0,0,3,0
royal blue suit rental,0,0,2,+1,0,0,66,-6
royal blue bowtie(new),0,0,2,0,0,0,10,0
rose gold tuxedo jacket,0,0,4,+2,0,0,8.5,+1.5
rose gold tuxedo for men,0,0,2,+1,0,0,11.5,-1.5
rose gold tuxedo,0,0,5," -4",0,0,10.4,+1.6
rose gold tux,0,0,1," -5",0,0,8,-0.3
rose gold tie(new),0,0,1,0,0,0,21,0
rose gold suits for men,0,0,3,0,0,0,10,-0.3
rose gold suits(new),0,0,1,0,0,0,21,0
rose gold suit for wedding,0,0,2,0,0,0,9,+2
rose gold suit for men(new),0,0,1,0,0,0,13,0
rose gold suit(new),0,0,6,0,0,0,12.8,0
rose gold mens suit,0,0,7,+6,0,0,9,+1
rose gold groomsmen suit(new),0,0,1,0,0,0,10,0
rose gold groomsmen bow tie(new),0,0,1,0,0,0,6,0
rose gold bowtie,0,0,1,0,0,0,9,0
rent suit for wedding(new),0,0,1,0,0,0,14,0
red wedding tuxedos,0,0,11,+10,0,0,79.1,-0.9
red wedding suits,0,0,3,+2,0,0,70,-29
red vest suit,0,0,1," -1",0,0,9,-0.5
red velvet prom suit(new),0,0,2,0,0,0,14,0
red tuxedo near me(new),0,0,1,0,0,0,53,0
red tux wedding,0,0,7,+4,0,0,61.6,-34.8
red suits men's(new),0,0,1,0,0,0,97,0
red paisley tuxedo jacket(new),0,0,1,0,0,0,4,0
red paisley suit jacket(new),0,0,1,0,0,0,7,0
red mens wedding suits(new),0,0,1,0,0,0,90,0
red mens tuxedo(new),0,0,2,0,0,0,83.5,0
red groomsmen suits(new),0,0,2,0,0,0,73.5,0
red bowties(new),0,0,1,0,0,0,4,0
red and white wedding suits,0,0,1," -2",0,0,63,-9.3
red and white tuxedos for weddings,0,0,18," -2",0,0,65.3,-5.2
red and white tuxedo,0,0,11,+4,0,0,68.6,-6.2
red and white suits(new),0,0,5,0,0,0,84.2,0
red and white prom suits,0,0,3,+1,0,0,56.3,-5.7
red and white prom suit,0,0,1,0,0,0,68,+2
red and silver suit(new),0,0,1,0,0,0,61,0
red and silver prom suit,0,0,3,+2,0,0,20.7,-19.3
red and gold tuxedo,0,0,1," -1",0,0,60,-4
red and gold suits(new),0,0,2,0,0,0,62.5,0
red and gold suit(new),0,0,2,0,0,0,93,0
red and gold prom suits,0,0,2,0,0,0,46,-14
red and gold prom suit,0,0,5,+4,0,0,28.8,-27.2
red and black wedding tux(new),0,0,1,0,0,0,98,0
red and black wedding suits(new),0,0,1,0,0,0,84,0
red and black tuxedo wedding,0,0,2," -2",0,0,6,-1
red and black tuxedo for prom,0,0,3,+1,0,0,18.3,-0.7
red and black tuxedo,0,0,7,+1,0,0,11,+2.8
red and black suit for prom,0,0,2,0,0,0,45.5,-4
red and black prom tux(new),0,0,1,0,0,0,32,0
red and black prom suits,0,0,4,+2,0,0,23.5,-11
red and black prom suit,0,0,11," -3",0,0,29.1,-11.5
red and black prom outfits,0,0,1,0,0,0,13,-28
purple tuxedos,0,0,4," -6",0,0,95.8,+11.3
purple tuxedo wedding,0,0,2," -1",0,0,81.5,+5.5
purple tux rental(new),0,0,3,0,0,0,67,0
purple suits for weddings,0,0,2,+1,0,0,84.5,-6.5
purple suit men's(new),0,0,1,0,0,0,102,0
purple suit men wedding,0,0,1,0,0,0,81,-3
purple prom suit for men(new),0,0,1,0,0,0,12,0
purple men's suits(new),0,0,1,0,0,0,72,0
purple men's suit(new),0,0,1,0,0,0,15,0
purple dress vest,0,0,1,0,0,0,6,-5
purple dress shirt men(new),0,0,1,0,0,0,12,0
purple dress shirt(new),0,0,1,0,0,0,15,0
purple bow tie(new),0,0,1,0,0,0,10,0
purple and white tux,0,0,1,0,0,0,69,-4
purple and silver suit(new),0,0,2,0,0,0,58,0
purple and gold tuxedo(new),0,0,1,0,0,0,57,0
purple and gold tux(new),0,0,1,0,0,0,60,0
purple and gold suits,0,0,2,+1,0,0,73,+9
purple and blue tuxedo(new),0,0,1,0,0,0,70,0
purple and black wedding suit(new),0,0,1,0,0,0,79,0
purple and black tuxedo,0,0,3,0,0,0,88.7,+7.7
purple and black tux(new),0,0,1,0,0,0,91,0
purple and black prom suits,0,0,1,0,0,0,42,-10
prom tuxedos rental(new),0,0,1,0,0,0,98,0
prom tuxedos near me(new),0,0,2,0,0,0,37,0
prom tuxedo store(new),0,0,5,0,0,0,34,0
prom tux dress(new),0,0,1,0,0,0,95,0
prom suits with jordans(new),0,0,1,0,0,0,10,0
prom suits stores near me(new),0,0,2,0,0,0,23,0
prom suits rose gold,0,0,1,0,0,0,24,-6
prom suits red and black,0,0,1," -1",0,0,53,+3
prom suits nearby(new),0,0,4,0,0,0,63.8,0
prom suits near me(new),0,0,1,0,0,0,56,0
prom suits gold and black(new),0,0,1,0,0,0,46,0
prom suits for men ventura(new),0,0,3,0,0,0,36,0
prom suits for men red(new),0,0,1,0,0,0,49,0
prom suits for men near me(new),0,0,2,0,0,0,39,0
prom suits dearborn(new),0,0,2,0,0,0,57,0
prom suits black and gold(new),0,0,1,0,0,0,39,0
prom suit with jordans(new),0,0,1,0,0,0,10,0
prom suit stores near me,0,0,24,+14,0,0,42.9,+5.2
prom suit stores(new),0,0,2,0,0,0,35,0
prom suit store dearborn(new),0,0,1,0,0,0,41,0
prom suit store(new),0,0,2,0,0,0,44.5,0
prom suit shops near me,0,0,1,0,0,0,43,0
prom suit places near me,0,0,1,0,0,0,32,-13
prom suit package(new),0,0,1,0,0,0,8,0
prom suit near me(new),0,0,6,0,0,0,45.5,0
prom outfits mens(new),0,0,1,0,0,0,27,0
prom mens suits,0,0,2,+1,0,0,76.5,+23.5
prom fit men(new),0,0,1,0,0,0,99,0
prom custom suits,0,0,9,+4,0,0,26.9,-22.5
powder blue suit rental,0,0,2,0,0,0,75.5,-16
plum purple bow tie(new),0,0,1,0,0,0,6,0
pistachio groomsmen bow tie(new),0,0,1,0,0,0,1,0
pink tuxedo rental,0,0,1,0,0,0,76,-6
pink and white wedding suit(new),0,0,1,0,0,0,64,0
pant suit prom(new),0,0,3,0,0,0,79.3,0
our place tuxedos(new),0,0,1,0,0,0,77,0
orange bolo tie(new),0,0,1,0,0,0,10,0
olive tie,0,0,3," -2",0,0,10.7,+0.7
olive green ties for wedding(new),0,0,2,0,0,0,5,0
olive green tie,0,0,3,0,0,0,9.3,+0.3
olive green bowtie,0,0,3," -7",0,0,5.3,-0.8
olive green bow tie,0,0,1," -2",0,0,12,+2.7
offwhite suit,0,0,1,0,0,0,3,-4
off white suits,0,0,6,+5,0,0,20.5,+11.5
off white suit men(new),0,0,1,0,0,0,13,0
off white suit,0,0,8," -2",0,0,5.2,-5.3
northern menswear discount code(new),0,0,1,0,0,0,15,0
nice prom suits,0,0,2," -3",0,0,82.5,-9.1
navy blue tuxedo wedding suit(new),0,0,2,0,0,0,94,0
navy blue and white tuxedo(new),0,0,3,0,0,0,88,0
modern tuxedos for men(new),0,0,1,0,0,0,97,0
menswear tuxedo,0,0,1," -1",0,0,32,-10.5
menswear suit(new),0,0,1,0,0,0,81,0
menswear formalwear,0,0,4,+2,0,0,49.8,-25.2
mens wedding suits shops(new),0,0,1,0,0,0,100,0
mens wedding suits red(new),0,0,2,0,0,0,79,0
mens wedding suits navy blue(new),0,0,4,0,0,0,26.5,0
mens wedding suits black and white(new),0,0,1,0,0,0,24,0
mens wedding suit price(new),0,0,1,0,0,0,26,0
mens wear wedding(new),0,0,1,0,0,0,17,0
mens warehouse weddings(new),0,0,1,0,0,0,76,0
mens warehouse kalamazoo,0,0,4,+1,0,0,9.8,-3.6
mens tuxedos sale(new),0,0,2,0,0,0,12,0
mens tuxedo shop(new),0,0,2,0,0,0,34,0
mens tux sale(new),0,0,1,0,0,0,27,0
mens suits with red(new),0,0,3,0,0,0,9.7,0
mens suits near me(new),0,0,2,0,0,0,5,0
mens suits kalamazoo,0,0,6," -11",0,0,7.2,-0.7
mens suits custom(new),0,0,1,0,0,0,44,0
mens suit place(new),0,0,1,0,0,0,24,0
mens spiked dress shoes,0,0,6,+4,0,0,3.8,+0.8
mens silver tuxedo(new),0,0,2,0,0,0,60.5,0
mens silver suits for weddings(new),0,0,1,0,0,0,81,0
mens silver dress shoes(new),0,0,1,0,0,0,5,0
mens satin suits(new),0,0,1,0,0,0,54,0
mens royal blue tuxedo(new),0,0,3,0,0,0,16.7,0
mens rose gold suit,0,0,2,0,0,0,7,+2
mens red tuxedo,0,0,2,0,0,0,83.5,-1.5
mens red suits for sale,0,0,2,+1,0,0,78,-10
mens red and black suits(new),0,0,3,0,0,0,18,0
mens purple bow tie(new),0,0,1,0,0,0,7,0
mens prom,0,0,3,+2,0,0,58.7,-22.3
mens olive tie(new),0,0,1,0,0,0,6,0
mens modern wedding suits(new),0,0,1,0,0,0,44,0
mens modern tuxedo(new),0,0,1,0,0,0,94,0
mens luxury tuxedos,0,0,9,+6,0,0,51,-48.3
mens ivory wedding suits(new),0,0,1,0,0,0,65,0
mens formalwear(new),0,0,3,0,0,0,35.3,0
mens fashion tuxedo(new),0,0,1,0,0,0,47,0
mens dress shoe rental(new),0,0,1,0,0,0,15,0
mens burgundy tuxedo jacket(new),0,0,1,0,0,0,11,0
mens blue tuxedo(new),0,0,2,0,0,0,6.5,0
mens athletic fit tuxedos(new),0,0,2,0,0,0,92,0
men's wedding tuxedo(new),0,0,1,0,0,0,44,0
men's wedding tux(new),0,0,4,0,0,0,53.2,0
men's wearhouse sales(new),0,0,1,0,0,0,9,0
men's wearhouse kalamazoo michigan(new),0,0,5,0,0,0,12.4,0
men's wearhouse kalamazoo,0,0,14,+11,0,0,11.8,-1.5
men's warehouse near me(new),0,0,1,0,0,0,14,0
men's warehouse kalamazoo,0,0,6,+3,0,0,11.2,-0.8
men's tuxedo wedding suits(new),0,0,4,0,0,0,13.2,0
men's suits purple(new),0,0,1,0,0,0,100,0
men's suits nearby(new),0,0,2,0,0,0,2,0
men's suits near me(new),0,0,1,0,0,0,15,0
men's suit shop near me(new),0,0,2,0,0,0,8.5,0
men's suit for prom,0,0,1," -5",0,0,66,-11.5
men's royal blue tuxedo(new),0,0,2,0,0,0,12.5,0
men's prom suits near me(new),0,0,1,0,0,0,32,0
men's prom shop,0,0,6,+2,0,0,21.3,-5.4
men's off white suit(new),0,0,1,0,0,0,1,0
men's gowns at jet(new),0,0,1,0,0,0,24,0
men's formal wear near me(new),0,0,1,0,0,0,15,0
men's formal wear(new),0,0,1,0,0,0,13,0
men's dress shoe rental(new),0,0,1,0,0,0,101,0
men's custom tuxedo(new),0,0,1,0,0,0,31,0
men's custom dinner jacket(new),0,0,1,0,0,0,103,0
men's blue tuxedo,0,0,1,0,0,0,2,0
men's black wedding suits(new),0,0,1,0,0,0,24,0
men's black and red suit(new),0,0,1,0,0,0,100,0
men's black and purple suit(new),0,0,1,0,0,0,93,0
men's black and gold tuxedo(new),0,0,1,0,0,0,46,0
men wedding suits for sale(new),0,0,4,0,0,0,23,0
men tuxedos for sale(new),0,0,2,0,0,0,29.5,0
men tuxedo for prom(new),0,0,1,0,0,0,68,0
men silver suit(new),0,0,1,0,0,0,93,0
men satin suit,0,0,1,0,0,0,71,-3
men rose gold suit(new),0,0,2,0,0,0,11,0
men prom suits near me(new),0,0,3,0,0,0,38.7,0
men prom(new),0,0,2,0,0,0,77.5,0
men blue tuxedo(new),0,0,1,0,0,0,11,0
man red suits(new),0,0,1,0,0,0,16,0
luxury wedding tuxedo(new),0,0,1,0,0,0,52,0
luxury tuxedo for men(new),0,0,1,0,0,0,21,0
luxury prom suits,0,0,4,+3,0,0,21.8,-3.2
luxury dinner jacket(new),0,0,2,0,0,0,3,0
luxurious tuxedo(new),0,0,10,0,0,0,62.3,0
local suit stores(new),0,0,1,0,0,0,75,0
lilac bowtie,0,0,1,0,0,0,4,-3
light yellow tuxedo(new),0,0,1,0,0,0,57,0
light silver tie(new),0,0,2,0,0,0,5,0
light red suits(new),0,0,3,0,0,0,84.7,0
light purple prom suit(new),0,0,1,0,0,0,13,0
light pink tuxedo(new),0,0,3,0,0,0,71,0
light grey tuxedo wedding,0,0,3,+1,0,0,7.3,+0.8
light grey tuxedo,0,0,5,+2,0,0,12.8,+2.1
light grey tux,0,0,4," -1",0,0,11.5,+6.7
light gray tuxedo,0,0,3," -1",0,0,6.3,-0.9
light color tuxedo(new),0,0,1,0,0,0,28,0
light brown prom suits(new),0,0,2,0,0,0,53.5,0
light brown prom suit(new),0,0,1,0,0,0,57,0
light blue tuxedo rental(new),0,0,1,0,0,0,78,0
light blue mens tie(new),0,0,1,0,0,0,2,0
kct menswear reviews,0,0,1,0,0,0,3,-2
kalamazoo alterations(new),0,0,1,0,0,0,30,0
k&g menswear suits online(new),0,0,1,0,0,0,4,0
jacket prom dress(new),0,0,4,0,0,0,67.5,0
ivory wedding tie(new),0,0,1,0,0,0,12,0
ivory and gold tuxedo,0,0,1,0,0,0,13,+3
how to choose the right prom suits for men for daily use?,0,0,3,+1,0,0,96,-3
how to choose the right prom suits for daily use?(new),0,0,2,0,0,0,88.5,0
how to choose the right prom suit for men for daily use?(new),0,0,1,0,0,0,100,0
grey and white prom suit(new),0,0,1,0,0,0,103,0
